s,type,g
http://dbpedia.org/resource/Daniel_da_Costa_Franco__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Argonaut_Mine,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30Word-on_it,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
"http://dbpedia.org/resource/Chochół,_Warmian-Masurian_Voivodeship",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#Soemu_Toyoda,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/SUMO#
http://dbpedia.org/resource/Jacob_J._Pugsley,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q18967229,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
"http://dbpedia.org/resource/Kevin_Young_(basketball,_born_1990)__2",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Taner_Gülleri__5,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/The_Maid_at_the_Palace,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/WZ-111_Heavy_Tank,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Aleksandr_Prudnikov__6,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Dave_Barry_(Irish_footballer),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Homer_L._Lyon,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Calliandra_guildingii,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
